i	x	y	z	x+dif	y+dif	z+dif	xdif	ydif	zdif
184	-10911.8809958	-763.033050342	0.0	-10858.9145986	-780.16247208	29.8145667774	52.96639717089991	-17.12942173797221	29.814566777417127
185	-10862.3914313	-950.336109023	0.0	-10950.6116283	-1049.4056633	24.0682466168	-88.22019695660526	-99.06955427436894	24.068246616831217
186	-10802.3586291	-1135.37364278	0.0	-10856.2931118	-1214.313404	7.49822000404	-53.934482747731025	-78.93976122422437	7.498220004036995
187	-10732.0473259	-1317.7297185	0.0	-10749.0559827	-1259.84043861	86.6565520097	-17.00865679532204	57.88927988609777	86.65655200966933
188	-10651.7634088	-1497.00772053	0.0	-10560.2995519	-1425.15460961	-48.50192065	91.46385689780504	71.85311091677434	-48.50192064995884
189	-10561.8506759	-1672.83280809	0.0	-10570.5189549	-1729.19953157	28.9694580102	-8.668279032321507	-56.36672347166831	28.969458010170655
190	-10462.6872802	-1844.85405821	0.0	-10411.0195363	-1896.40572265	25.1704135146	51.66774381494926	-51.55166444760697	25.170413514569148
191	-10354.6819236	-2012.74627333	0.0	-10433.2989202	-1959.21271396	-2.97959754326	-78.6169965808517	53.5335593688215	-2.979597543259956
192	-10238.2698691	-2176.21144083	0.0	-10237.3943845	-2153.04788782	24.3728130792	0.8754845885547979	23.163553004638572	24.372813079223235
193	-10113.908839	-2334.97983886	0.0	-10177.452691	-2249.25715059	31.4724282383	-63.5438520068909	85.72268826894859	31.47242823825198
194	-9982.07486633	-2488.81079065	0.0	-9940.02208043	-2460.03402857	58.9186027521	42.052785898336396	28.77676207921911	58.918602752072616
195	-9843.25816395	-2637.49307592	0.0	-9775.64629923	-2614.6717532	-20.8088959847	67.61186472234621	22.821322717446918	-20.808895984710958
196	-9697.95906844	-2780.84501415	0.0	-9752.3685004	-2834.91121711	-82.3759067935	-54.40943196110582	-54.066202955305755	-82.37590679352473
197	-9546.68411401	-2918.71423985	0.0	-9532.89536506	-2892.19595071	33.9350889494	13.788748951579734	26.51828914129213	33.935088949353
198	-9389.94228228	-3050.977194	0.0	-9405.93168344	-3016.50205806	-45.4799245399	-15.989401162183654	34.475135942205384	-45.47992453989011
199	-9228.24146816	-3177.53835959	0.0	-9261.0876427	-3184.59189179	-99.9695896557	-32.846174538254374	-7.053532199062843	-99.96958965574723
200	-9062.08519417	-3298.32927106	0.0	-8992.90030367	-3318.29445608	-82.1099729156	69.18489049811603	-19.96518501878066	-82.10997291564354
201	-8891.96959835	-3413.30732943	0.0	-8865.54918491	-3453.75348744	44.4687828067	26.420413441571128	-40.44615800807183	44.468782806697504
202	-8718.38071363	-3522.45445512	0.0	-8652.80504632	-3494.3129345	64.2386363889	65.57566731083955	28.141520624882673	64.23863638887411
